Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2020-12-01,0,100,76.56,54.73,6.82,0,238
2020-11-24,8.18,91.82,65.07,46.78,0,0,204
2020-11-17,8.18,91.82,65.07,46.78,0,0,204
2020-11-10,8.25,91.75,65.07,46.78,0,0,204
2020-11-03,8.25,91.75,65.07,40.26,0,0,197
2020-10-27,8.23,91.77,65.07,40.26,0,0,197
2020-10-20,8.27,91.73,56.26,22.75,0,0,171
2020-10-13,8.27,91.73,56.26,20.61,0,0,169
2020-10-06,13.88,86.12,55.09,19.37,0,0,161
2020-09-29,15.13,84.87,51.84,13.94,0,0,151
2020-09-22,24.59,75.41,35.56,8.83,0,0,120
2020-09-15,36.94,63.06,33.33,3.01,0,0,99
2020-09-08,38.57,61.43,24.1,1.2,0,0,87
2020-09-01,39.18,60.82,17.89,1.2,0,0,80
2020-08-25,38.99,61.01,16.45,1.2,0,0,79
2020-08-18,43.71,56.29,12.56,1.2,0,0,70
2020-08-11,45.89,54.11,11.34,0,0,0,65
2020-08-04,51.3,48.7,11.92,0,0,0,61
2020-07-28,51.3,48.7,11.92,0,0,0,61
2020-07-21,47.8,52.2,9.64,0,0,0,62
2020-07-14,28.4,71.6,6.85,0,0,0,78
2020-07-07,28.84,71.16,17.64,0,0,0,89
2020-06-30,29.41,70.59,52.78,0.71,0,0,124
2020-06-23,31.37,68.63,52.83,0.71,0,0,122
2020-06-16,36.81,63.19,36.18,0,0,0,99
2020-06-09,43.14,56.86,31.21,0,0,0,88
2020-06-02,39.67,60.33,31.21,0,0,0,92
2020-05-26,43.25,56.75,16.2,0,0,0,73
2020-05-19,43.25,56.75,16.2,0,0,0,73
2020-05-12,54.49,45.51,0,0,0,0,46
2020-05-05,51.57,48.43,0,0,0,0,48
2020-04-28,58.68,41.32,0,0,0,0,41
2020-04-21,66.79,33.21,0,0,0,0,33
2020-04-14,94.68,5.32,0,0,0,0,5
2020-04-07,94.68,5.32,0,0,0,0,5
2020-03-31,94.85,5.15,0,0,0,0,5
2020-03-24,94.85,5.15,0,0,0,0,5
2020-03-17,100,0,0,0,0,0,0
2020-03-10,100,0,0,0,0,0,0
2020-03-03,100,0,0,0,0,0,0
2020-02-25,100,0,0,0,0,0,0
2020-02-18,100,0,0,0,0,0,0
2020-02-11,100,0,0,0,0,0,0
2020-02-04,100,0,0,0,0,0,0
2020-01-28,100,0,0,0,0,0,0
2020-01-21,100,0,0,0,0,0,0
2020-01-14,100,0,0,0,0,0,0
2020-01-07,100,0,0,0,0,0,0
2019-12-31,100,0,0,0,0,0,0
2019-12-24,100,0,0,0,0,0,0
2019-12-17,100,0,0,0,0,0,0
2019-12-10,100,0,0,0,0,0,0
2019-12-03,100,0,0,0,0,0,0
2019-11-26,100,0,0,0,0,0,0
2019-11-19,100,0,0,0,0,0,0
